節點站	鄰站(間無他站)	鄰站(間無他站)	鄰站(間無他站)	鄰站(間無他站)	交叉	臺鐵高鐵共站	自強莒光停靠
新左營/高鐵左營	沙崙/高鐵臺南	左營	楠梓		T	HR	TCCK
沙崙/高鐵臺南	新左營/高鐵左營	新烏日/高鐵臺中	長榮大學		T	HR	R
新烏日/高鐵臺中	沙崙/高鐵臺南	豐富/高鐵苗栗	烏日	成功	X	HR	TCCK
豐富/高鐵苗栗	新烏日/高鐵臺中	六家/高鐵新竹	苗栗	造橋	X	HR	R
六家/高鐵新竹	豐富/高鐵苗栗	板橋/高鐵板橋	竹中		T	HR	TCCK
板橋/高鐵板橋	六家/高鐵新竹	臺北/高鐵臺北	萬華	浮洲	X	HR	TCCK
臺北/高鐵臺北	板橋/高鐵板橋	南港/高鐵南港	萬華	松山	X	HR	TCCK
南港/高鐵南港	臺北/高鐵臺北	松山	汐科		T	HR	TCCK
八堵	七堵	三坑	暖暖		T	R	TC
瑞芳	四腳亭	猴硐	海科館		T	R	TCCK
竹中	六家	上員	新莊		T	R	R
北新竹	新竹	竹北	千甲		T	R	R
竹南	崎頂	談文	造橋		T	R	TCCK
成功	新烏日	追分	彰化		T	R	R
彰化	成功	追分	花壇		T	R	TCCK
二水	源泉	田中	林內		T	R	TCCK
三貂嶺	牡丹	大華	猴硐		T	R	R
中洲	仁德	長榮大學	大湖		T	R	R
蘇澳新站	蘇澳	永樂	新馬		T	R	TCCK
